IDIOM,meaning,uses
your call,"to leave a decision on  another person
when someone else takes the final call of what has to be done or decides the same
when someone else regulates what has to be done  or someone else finalises the decision","I don't really care where we go right now for dinner. It's your call.
I suggest that we use the funds to make new parks for under privileged children but it is your call in the end.
He said, ""I am not sure about this article yet. I don't think it is ready to be published."" She replied, ""Okay. It's your call.""
""Well, I have shown you both the sides to it - It's your call."" Everything has its pros and cons in the end.
It totally depends on you if  accept or refuse his proposal to be Manager. It's your call.
""Do you want to leave now or rest for some time before that? It's your call, I don't mind either way""
Would never go ahead and do such a thing, but it's your call.
You know it's your call if you want to watch a movie or go for dinner with me tonight. I'll be fine with anything as far as we are together.
I don't know why but I just can't decide on one thing here because it's all so messed up. It's your call. I just can't think of anything."
prick ears up,"listen carefully
begin to listen attentively
become very alert and start listening
start to listen with full attention","She pricked up her ears when she heard her name being mentioned by the group chatting animatedly at the corner.
His ears pricked up when he heard the word ""incentive"" during the otherwise boring all employees' meet.
He pricked up his ears when he overheard a juicy bit of gossip being discussed at the office lobby.
He pricked up his ears when he heard that they were going away for a vacation to a place he had always wanted to go to.
An interesting piece of news always gets everyone to prick their ears up and listen carefully.
Jeff pricked his ears up when he heard his wife's name being mentioned.
Everyone pricked up their ears when the announcement about the new policy came in."
pig in a poke,"something that is bought without examining properly
an offer or deal that is accepted without properly evaluating it first
buying something without looking at it","If you buy a used car without examining it thoroughly first, you might end up buying a pig in a poke.
Though online shopping has gained huge popularity, it can sometimes be something of a pig in a poke, as you cannot see what really you are buying.
Instead of trusting your agent and ending up buying a pig in a poke, why don't you go and have a look at it first?
I am afraid if I accept that offer, I might end up with a pig in a poke.
I am not closing that deal until I have all the details of what they are offering. I don't want to end up having got a pig in a poke.
The package I bought turned out to a pig in a poke."
zip your lip,"to stop talking
to stay calm
to stay hush
to remain secret or silent","Why don't you just zip your lip, I am tired of being nagged all morning.
And then the politician asked them all to zip their lips as he wanted to state his point first.
Zipping your lip is one difficult task for a fellow to likes to speak his heart out.
It is almost impossible to zip your lip when you are in the company of family or friends.
The manager asked all those who disagreed with the new rule  about shortening of the lunch breaks to zip their lips.
I once saw an old lady being bad mouthed by some thieves but I just zipped my lip as I was too scared to do anything about it.
Anyone who wishes to stop talking should just zip their lip.
I am going to zip my lip at dad’s place on Monday and you can go ahead and explain why we need the extra 2000 bucks.
I zipped my lip for the entire presentation until I was forced to speak my Mrs. Shukla.
She zipped her lip at the meeting yesterday, as it was pointless saying anything."
yellow streak,"people who  have an inclination towards being fainthearted.
referring to a cowardly trait in a person's temperament.
a  fault or a weak trait in a person's disposition.
used for people who aren't courageous.","Ginna's got a yellow streak which shows up the moment she is asked to stand up against Nick.
Why don't you just go and get rid of the yellow streak, huh?
""Hard luck for the people who have a yellow streak because we will show no mercy today soldiers!""
Why don't you show these people that even a person with a yellow streak  like your's can trek through this mountain terrain?
""I need to get rid of this yellow streak somehow,"" she muttered, wiping the tears in her eyes.
My cousin says that his yellow streak is a plus point for him as it keeps him sane and saves him from getting into any trouble.
They say that Edward has a yellow streak but trust me I have seen nothing but courage in him?"
year-round,"happening in continuation throughout the whole year
taking place as much as possible through the year","The park provides free food for orphans year-round as a service to the God and humanity.
Huggies gave them a year-round supply of diapers so that it could be distributed amongst the poor in that area.
The FBI headquarters operate year-round to keep crime rates to a minimum.
50 seats are reserved for exchange students year-round.
There was a year-round supply of goods, food, utensils and clothes by the king in the memory of his beloved wife Maria.
We have hospital beds reserved for pneumonia patients, cancer patients, pregnant females and twenty percent reservation in case of an epidemic year-round.
She prayed to the gods for rain all year-round as she believed that her prayers would be answered and there would be harvest in the fields again.
Himachal Pradesh has a cold and pleasant climate and skiing on the snow-covered mountains  year-round which are an attraction for all the tourists.
The year-round bill for the usage of AC’s during summer season and heaters during the winter season in India is astronomical and it leaves a very negative impact on the environment and influences global warming."
unring the bell,"once something has been done you cannot run away from it, you can only face the aftermath
ramifications have to be withstood whenever something is done
we cannot take back something once said or done.","Remember Tom, you cannot unring the bell once you have sent out that mail.
Once he was done screaming at his old parents for all the pain they had caused him, he realized that there was no unringing the bell now.
It often happens to me that I say some really awful things to my mother even though I love her and I realize that there is no unringing the bell now.
If only we could unring the bell, this world would be a better place to live in.
You can only learn from the mistakes that you make and not repeat them again because unringing the bell is not an option."
young turk,"a young person who has many new ideas and wants a reform
a young person eager for rigorous re-order to the established order.
a member of one or more of the insurgent groups in Turkey in the late 19th century who rebelled against Ottoman's rule
a young person who is defiant and insubordinate to dominate in a company, team or organization.","The beginning of the young turk's party was after they started becoming organized and confident of their power and abilities.
It is a very famous saying that the young turk could conquer the hearts of beautiful girls even as their enemy.
The thought of leaving his mother and family in order to fight a war which was not even his truly saddened the young turk .
Shivaji Maharaj was a young turk that could not be tamed and he thirsted glory and victory in all his wars."
zenith of career or life,"the highest pinnacle of a person's career or life
the apex of a person's career or life","The birth of his daughter was the zenith of his life.
Winning the tender for the reconstruction of Taj Mahal was the zenith of her career.
The opportunity to sing in the New York Philharmonics was the zenith of his musical career.
Before I retired I had reached the zenith of my career.
Massa can look back on that season as the year that he reached the zenith of his career.
In February when Cruz resoundingly won the Iowa elections, largely through months of cultivating grass-roots support in the state making it the zenith of his career.
The video for the best song, “Cream,” was the zenith  32-year-old Prince's career."
pedal to the metal,"do something at full speed
push something forward as fast and as hard as possible
put in maximum effort to do something
make something go forward as fast as you can","I need to submit this assignment in two days' time. I have to put pedal to the metal else I will miss the deadline.
We are running behind schedule. Unless we put pedal to the metal we won't be able to submit the proposal on time.
Let's put pedal to the metal and finish this job fast, then we can plan for our next step.
You are running late. You are going to miss the plane unless you put pedal to the metal.
We hardly have time left for the event. We have to put pedal to the metal and make sure all the arrangements are in place.
When he realized that he would not be able to finish the work in time if he continued at the same pace, he put pedal to the metal and completed it a day early."
out on the town,"go out and enjoy yourself at one or more places in the town
go out for entertainment or celebration
go to pubs, bars, restaurants or nightclubs to enjoy yourself","All of us slept till late afternoon after we had a night out on the town and returned after dawn.
She has gone out on the town with her friends to celebrate getting selected for the job she always wanted.
After having beaten the opposition comfortably, the players went out on the town to celebrate their win.
We have had a crazy week at work. Let's go out on the town and enjoy ourselves to beat the stress.
When our old friend came to visit us after a long time, we went out on the town and had a great time together.
Once they had won the competition, they all went out on the town to celebrate their success."
on the same page,"everyone in agreement
multiple people having the same understanding
having the same information or knowledge
thinking in the same way","Before we begin with the discussion, I want to make sure that all of us are on the same page.
Let us discuss this internally first so that we are on the same page before we speak to the customer.
I don't think we are on the same page regarding this. I will explain to you exactly what I think, please listen to me carefully.
The confusion arose because they were not on the same page. He was talking of one thing and was referring to something else.
Since you were not present yesterday, I'll quickly update you about what happened so that we are on the same page."
on pins and needles,"being anxious or nervous
agitated, or in suspense
in a worried or excited state
to be tense
waiting nervously for something","We have been on pins and needles since we got the news that she had been stranded in the hills amidst a landslide.
He has been on pins and needles all day today, waiting for a call from the company he had applied to for a job.
Make sure that you inform me once you reach; I'll be on pins and needles until I hear from you.
When his wife went into labour and was shifted to the delivery room, he became very anxious and seemed to be on pins and needles.
My brother has been on pins and needles since yesterday as his exam results are scheduled to be declared today.
She has been on pins and needles since her son went out on his first camping trip with friends.
Following reports of gunfire and casualties near his wife's workplace, he was on pins and needles until she called him to say she was safe."
off the record,"an informal or unofficial statement
comments or statements made in confidence and not to be published or recorded
a statement not to be attributed to the one who made it
not to be known publicly","I will give you the information regarding what really happened, but strictly off the record.
He candidates comments were meant to be off the record, but the press reported it and it created a huge controversy.
The actress's off the record comments about her co star's appearance were leaked to the media causing much embarrassment to both of them.
She made it clear that her statement was off the record and could not be published anywhere or attributed to her.
Off the record, he let me on to the secret strategy that his company was using to hook customers to their products.
The conversation between the security advisers of the two agencies was completely secret and off the record, and it was to be reported that they never met.
After the interview, the sportsman gave the reporters some off the record snippets of what went on in the locker room.
""This is off the record right now, but we might announce a large bonus this year,"" the manager said, much to the cheer of his employees."
off the hook,"free of a difficult situation
let off from blame or trouble
no longer have to deal with unpleasant circumstances
escape or released from a tough situation","Since it was his first offence, and a minor one at that, he was let off the hook with just a warning.
He was charged with leaking confidential information, but I got him off the hook by vouching for his integrity.
The legal system had become so corrupt that the hardened criminal was repeatedly got off the hook by the powers who were behind him.
All evidence of the robbery pointed to him, but he got himself off the hook by somehow proving that he was out of town during the incident.
Charges of deceit and falsehood had been slapped on him, but he was confident of getting off the hook because of his connections with powerful people.
I really did not want to attend that meeting. Thankfully another urgent matter came up and I got off the hook as had to attend to it.
Though we are letting you off the hook this time, you'd better be careful, you won't be so lucky next time."
off on the wrong foot,"off to a bad start
begin something incorrectly
begin badly
start off something in a way that is likely to fail","Their relationship started off on the wrong foot when they had a huge misunderstanding.
His career started off on the wrong foot when the company he joined had to shut down because of recession.
We had started off on the wrong foot, but over time as we got to know each other, we developed a bond and trust for each other.
Would you give some advice on how to start my new business? I don't want to get off on the wrong foot.
He started off on the wrong foot in his new job when he had a bit of an argument with his manager."
no room to swing a cat,"a very small place
a confined place
a crowded or cramped space
not much space","How do you expect all four of us to stay in that room? There's no room to swing a cat in there.
The hotel claimed to have luxurious rooms, but when we went there, we found the rooms so small and cramped that there was no room to swing a cat.
There's not enough room to swing a cat in here, how do you plan to get in a couch over here?
We don't have any room to swing a cat here, how will all that stuff fit in?
Isn't this place a bit too small? There's no room to swing a cat in here."
no dice,"not agree for something
refusal to do something
refuse to accept a proposition
not possible","The children asked whether they could all go out for a camping trip, but no dice, their parents refused.
We asked the company whether they would issue a refund if we did not use their product, but no dice.
Would I get a train at this time of night? No dice.
Are you coming out with us for lunch? No dice, I have a lot of work to do, I'll have something from the cafeteria.
Would be able to help me out with this? No dice, I have my hands full at the moment.
We tried to find a room at the hotel, but no dice, it was fully booked at this time of the year.
I thought they would turn up for the event, but no dice, they were nowhere to be seen."
new york minute,"in a very short amount of time
very quickly, in an instant
a minute that seems to pass very quickly","I'll get that job done in a New York minute if you give it to me.
He was in and out of the place in a New York minute, having finished whatever he had to do.
It looked like his mind had already been made up, as it took him a New York minute to announce his decision.
He was an expert ethical hacker and it took him all of a New York minute to hack into the site.
Wait for me here, I will be back in a New York minute.
The eatery out there has a really quick service. They served our order in a New York minute.
It took him a New York minute to collect his belongings and leave the place."
nest egg,"an amount of money that has been saved, especially for future use
savings for the future
money saved and set aside for later use
an amount of money that has been saved for something important","The stock market has given me good returns and helped me build a nest egg for my retirement.
Start investing early and invest regularly in order to build a nest egg for the future.
Small but regular investments over a long period of time has helped me in building a decent nest egg.
The nest egg that he had built over the years helped him tide over his difficulties when he lost his job during the recession.
He lost the nest egg he had built diligently over the years in a moment of madness when he invested it in a risky venture which failed.
He had built a sizable nest egg over the years and was ready to retire by the time he reached his forties."
mum's the word,"keep quiet and say nothing
do not say anything or give away a secret
keep silent and not reveal something","We are throwing a party for our friend Jeremy, but its a surprise, so don't tell him anything about it. Mum's the word.
I'll tell you about our secret hiding place, but mum's the word; don't tell anyone about it.
Mum's the word about tonight's plan. We don't want all and sundry to gatecrash into our private gathering.
The information I am going to reveal to you is highly confidential, so mum's the word.
I know where he has gone, but I am not revealing it to anyone against his wishes, so mum's the word.
I'll let you on our little secret, but mum's the word: if anyone else gets to know of it, we'll be in big trouble.
I've heard the news, but mum's the word till we get confirmation."
loose cannon,"somebody whose activities are uncommon and out of control
an uncontrolled person who can cause unintentional damage
someone who behaves in an unexpected and uncontrolled way and is liable to cause problems","He was a loose cannon and could not be risked in front of the press.
I don't think he's just a loose cannon, sometimes he really makes sense.
The candidate turned out to be a loose cannon, and most of the voters could not place their trust on him.
He was considered to be a loose cannon due to his volatile temper.
They did not share any secrets with him since he was seen as being something of a loose cannon.
He is a loose cannon and would not be a good choice for a leader."
like a chicken with its head cut off,"act in a frenzied manner
behave in a distracted, crazy way
in a frantic and disorganized manner
be in a frenzy
act in a haphazard or aimless way
not be in control","Does he know how to handle the situation? He has been running around all morning like a chicken with its head cut off.
He ran around the place looking for his missing bags like a chicken with its head cut off.
When she realized that the child was not with her, she ran around looking for him like a chicken with its head cut off.
He does not know what to do. He has been running around like a chicken with its head cut off all day.
When he realized that he was being removed from his position, he started running around the building like a chicken with its head cut off.
When he lost the match, he ran all over the ground like a chicken with its head cut off, venting his anger on anything he could get hold of."
level playing field,"a situation that is fair to everyone
where everyone gets the same opportunity
a situation where everyone has an equal and fair chance of succeeding
a fair competition, where no advantage is shown to one side","These set of rules would provide a level playing field to all the competitors and all would have a fair chance of succeeding.
The politician said in his speech that he wanted to provide for a level playing field to the downtrodden and marginalized sections of the society.
Even today, women don't have a level playing field in terms of opportunities to excel and succeed.
It's no use competing in that market; you don't have a level playing field.
If we start off with a level playing field, everyone would have an equal chance of succeeding.
Since we don't have a level playing field, we have to put in extra efforts in order to do well."
lend me your ear,"ask for someone's full attention
listen to someone carefully
pay attention to what someone is saying
listen to someone with understanding","Lend me your ear and I will tell you about my adventures in the mountains.
Lend an ear to what I am saying; you might need to know all this when you start working on your project.
When she was going through tough times, he lent a sympathetic ear to her troubles.
Stuart lent an ear to the representatives of the worker's body to understand their problems.
Could you please lend me your ear for a minute? I need to tell you something really important.
What I am going to say next is very important for your future with this company. I ask all of you to please lend me your ears for the next few minutes.
Tracey was a very nice and caring person and would always lend an ear to everyone's problems.
Lend me an ear, will you? I need to make sure that you understand what I am saying."
last but not least,"someone or something that is last in sequence, but not less in importance
important, despite being mentioned at the end
emphasizing that the item mentioned last in a list is equal in importance to the others
as important as other in spite of being listed last","After the success of his first book, the author thanked his publisher, editor, and, last but not the least, his family.
That is the best restaurant in town because it has terrific food, a lovely ambiance, and, last but not the least, a great staff.
Presenting the final speaker at the conference, the host said ""And last but not the least, I would like to call upon Mr Smith to express his views.""
Last but not the least, the final participant at the event came on to showcase his skills.
At the end of his speech, he concluded by saying ""and last but not the least, I thank you, my audience, for having patiently sat through my speech.""
The new mall has some great stores, good places to eat, and, last but not the least, ample parking space."
knock on wood (touch wood),"tap knuckle on wood in order to avoid bad luck
said when you want good luck or a good situation to continue
said when expressing hope for something to occur","I am expecting a promotion and a big pay hike this year, touch wood.
The team I support has been winning every game so far, knock on wood.
We have had a great week so far and, touch wood, we will end it on a high note.
We expect to close the deal by the end of this week, knock on wood.
We have had a smooth journey so far, touch wood.
Our new venture has got off to a great start and touch wood, we'll be doing good business by the end of the year.
Your health seems to be improving, knock on wood."
knee jerk reaction,"an automatic response to something
an immediate reaction made without thinking
a reflex reaction
an instant reaction made without examining causes or facts
a spontaneous and involuntary reaction","It was a typical knee jerk reaction. He said no immediately without considering our proposal.
In a knee jerk reaction after the big defeat, the coach dropped many of the players and fielded a new look team for the next match.
We want to avoid a knee jerk reaction to this crisis, so we will have to sit down and plan our next course of action.
Her remark was probably a knee jerk reaction to your comments, which were not very flattering.
The actions of the police were a knee jerk reaction to the sudden rise in crime in the city.
In a knee jerk reaction to the increase in costs, the company decided to shut down some of its operations.
Megan was so afraid of the horror movie that she denied to recognise her father on phone call in a knee jerk reaction."
keep body and soul together,"manage to stay alive with very little money
earn barely enough to keep you alive
just be able to pay for the basic necessities of life - food, clothing and a place to live
to survive or exist, especially in difficult circumstances","When he first came to the city, he earned barely enough to keep body and soul together.
John said he would not be able to keep body and soul together on the salary he was being offered by that company.
Artists and writers often do not earn enough to be able to keep body and soul together. They need a second job to sustain themselves.
With rising costs and dwindling income, she had to take up two jobs to keep body and soul together.
Those workers worked long hours in toxic conditions just to be able to keep body and soul together.
He did not earn enough from his job to keep body and soul together, so he took up a small side business in order to supplement his income."
it's anyone's call,"a competition where the outcome is difficult to predict or judge
a situation where all possible outcomes are equally likely","I think this year's election would be anyone's call. Both the candidates seem to have an equally divided support base.
The fight between the two boxing champions could be anyone's call. Both the boxers are equally matched.
I guess its anyone's call on who would win tonight's game. Both the teams have been performing well and are in the form of their lives.
""Who do you think will win the race today?"" ""Well, its anyone's call, really.""
Its anyone's call on which way the results will go. Either way, we have to be prepared for the next step.
At the halfway stage of the big match, it was anyone's call on who would win. Both were playing well and were evenly placed."
in your face,"a bold, defiant or aggressive manner
aggressive or confrontational
direct and forceful
shocking or annoying in a manner difficult to ignore
provocative","Unable to tolerate Jack's in your face attitude anymore, his boss fired him from the job.
That was a very in your face advertisement they showed last night on TV which made some very bold statements.
Mark is just an in your face sort of a person and sometimes talks rough. He really means no harm.
""In your faces, kids"" shouted the footballer to his opponents after having scored his third goal of the match.
It was going to be a high profile fight by the two boxers and was marked by in your face comments from either side before it began.
No one liked him because he was always in your face and seemed to be at war with the world.
Her performance yesterday at the dance show was very aggressive and in your face. Not many would have liked it.
His defiant and in your face nature was a result of his difficult childhood."
in the buff,"naked
without any clothes on
nude","The model created a sensation when she posed for a magazine cover in the buff.
Not knowing that someone was there in the room, he came out of the bathroom in the buff.
There was a huge scandal when some pictures of the actress in the buff were leaked over the internet.
Kim was terribly embarrassed having walked into Pat's room while he was in the buff.
Some people sleep in their pajamas, while some prefer to sleep in the buff.
Out here, don't be shocked if you see children running out onto the streets in the buff and playing in the rain."
every nook and cranny,"to look for something everywhere
to search in every place
to search within the smallest parts also","The lawyers searched every nook and cranny to find more evidence but alas, there was none.
My mother usually ends up searching every nook and cranny to find her keys and almost always finds it in her purse.
The divers searched every nook and cranny of the river bed but could not find his body.
I have been searching for the text book in every nook and cranny of the market but have not been able to find it yet.
Their search for the perfect groom went on to every nook and cranny before they finally found a suitable match for their daughter.
My toddler gets into every nook and cranny of the house and finds something that she can break each time."
in the bag,"have something as good as secured or certain
certain to get or achieve something
assured of a successful result
virtually secured or achieved","The deal was finally in the bag after a few rounds of tough negotiations.
The game was in the bag when the team scored their third goal.
After months of hard campaigning, the politician believed that elections were in the bag.
I have not yet got the job, but I believe its pretty much in the bag.
Everyone thought that he had the match in the bag, but his opponent suddenly put in a tremendous performance and snatched it away from him.
Having received a lot of praise from the management, he knew that his promotion was in the bag.
Though I feel the contract is in the bag, I'll wait for the confirmation before telling anyone."
idle hands are the devil's tools,"if you have nothing to do, you are likely to do some mischief
an idle person is likely to do something evil
people are more likely to do something bad and get into trouble when they have nothing to do","They kids should be kept busy while you are away; idle hands are the devil's tools.
I don't like the look the man standing outside doing nothing. Idle hands are the devil's tools.
We should find something useful for Amy to do during the afternoon. Idle hands are the devil's tools.
Why are you wasting your time doing nothing? Don't you know, idle hands are the devil's tools."
icing on the cake,"when something good is added to another good thing that you already have
an extra enhancement
an additional benefit to an already good thing
something that makes a good situation even better
an attractive but often unessential addition to something","Everyone expected him to do well in the exams. Getting first rank was the icing on the cake.
He was happy to have his first book published. All those congratulatory messages and fan-mail that came in were the icing on the cake.
The sportsman was already on a high after having won at the competition, the frosting on the cake was when the government announced a huge cash reward for is achievement.
He was already happy with his pay hike, the icing on the cake came when he received a large bonus.
Winning the race was a feat in itself, creating a world record was the icing on the cake.
The hotel was very nice and we enjoyed our stay there. The icing on the cake was when they gave a complimentary voucher for a two day stay which we could redeem on out next visit.
The fact that my car broke down was just the icing on the cake. My day had already been a disaster.
After the nightmare of a party, my son vomited everywhere. It was the icing on the cake."
going to hell in a handbasket,"in extremely bad state and becoming worse
headed for complete disaster
deteriorating rapidly","With corruption and malpractices everywhere, the political leadership seem to be going to hell in a handbasket.
The security arrangement at the stadium was pathetic and the whole place went to hell in a handbasket as the people in charge looked on.
The company was rapidly going to hell in a handbasket when the chairman and some top officials were accused of fraud.
The fortunes of the club did not change with a change in management and soon they were going to hell in a handbasket.
Many believe that if that candidate wins the elections, the country would soon be going to hell in a handbasket.
The healthcare system in this city is going to hell in a handbasket as the people responsible are busy blaming each other.
With mounting debt and dwindling operations, the company is going to hell in a handbasket."
lose head,"not have control over your emotions
become very angry or upset and unable to think clearly
lose control and not act in a calm manner
behave irrationally and lose self control
","He is usually very calm and does not lose his head in stressful situations.
He lost his head completely when his wife left him over his drinking habit.
The project manager lost his head when the project was delayed for the fifth time, this time due to lack of funds.
When fire broke out in the building, instead of keeping calm, everyone lost their heads and started running helter skelter.
She did not lose her head when faced with a scary situation and calmly got herself out of it.
He has a very short temper. He's always losing his head at the slightest provocation.
He has been losing his head over the missed opportunity since the past few days."
haste makes waste,"if you do things too quickly, you can make mistakes
hurrying will result in poor endings
you will make mistakes if you are too hasty
rushing through things causes errors, resulting in time, efforts, resources, etc being wasted
doing things too quickly will result in bad finishing","Try not to rush through things, even though you are in a hurry. After all, haste makes waste.
You need to check these files carefully. Do not try to finish them too quickly - remember, haste makes waste.
If you try to finish off your work in a hurry, you might end up making a lot of mistakes and then you would have to redo it. Haste makes waste, you know.
I'd rather miss the deadline and submit a good report than rush through it and make one full of errors. After all, haste makes waste.
Be careful while checking the papers. Haste makes waste, so check them thoroughly before submitting them."
gut feeling,"a personal, intuitive feeling
an instinctive feeling, without any logical rationale
an intuition about something
a feeling based on sixth sense, not on facts
a feeling that you are certain is right, though you cannot explain why","I had a gut feeling that he had been lying, and sure enough, it was later proved that he had been.
After the interview, Jules said that he had a gut feeling that he would get the job this time.
As he approached the house, he had a gut feeling that something was wrong.
My gut feeling is that she is going to be the right person for this job.
Hurrying down the street, Susan had a gut feeling that she was being watched.
Chuck said his gut feeling was that they were going to get delayed for their trip the next day, so he planned for some eventualities.
I have a gut feeling that something bad is going to happen when we go there."
great minds think alike,"Thoughts of very intelligent people are similar to each other
Intelligent people come up with the same ideas at the same time.
Used playfully to imply that two people have the same views","The two of us had the same idea at the same time. Well, great minds think alike!
""Let's break for lunch."" ""I was thinking of the same thing, great minds think alike!""
Its strange how two different people wrote about the same thing in different places and arrived at similar conclusions! Indeed, great minds think alike.
While it is said that great minds think alike; it is also true that great minds are great because they think differently from others.
Both of us made the same decision. Good, great minds think alike."
good samaritan,"someone who tries to help people in trouble or need
a compassionate person who helps others unselfishly
a person who helps others without any thoughts of a reward or compensation","The beggar was lying shivering on the road when a good Samaritan came along and gave him a blanket and some warm clothes.
If it had not been for a good Samaritan who rushed him to the hospital, the accident victim would not have been living today.
He was toiling hard in the hot sun when a good Samaritan came along and offered him a bottle of water.
Seeing that the child was lost, the good Samaritan took her to the authorities and helped her find her parents.
He is really a good Samaritan. Every time he sees someone needing help, he jumps in and helps them."
go out on a limb,"do or say something that is different from most other people
get into a position where you are not supported by others
take a wild guess
get into a tough or disadvantaged position in order to support someone
get into a risky situation in order to help someone else","During an analysis of the news, he went out on a limb and expressed an opinion that was opposite to that held by the general public.
He went out on a limb trying to support the views of his colleague and in the process earned the ire of his boss.
Considering the fact that almost everyone is against him getting that post, would you really go out on a limb and support his candidature?
True to his character, he went out on a limb and expressed views that were exactly opposite to what everyone else wanted.
I'm not going to go out on a limb every time and support you for your goof ups."
go for broke,"risk everything and go for an all out effort
try as hard as possible
gamble everything you have
try everything possible to achieve something","Realizing that they would be out of the competition if they lost this match, the players went for broke.
This is my last chance to achieve what I want. I am going to go for broke.
If you really want to become a successful actor, go for broke. Give up everything else and focus only on your acting career.
If you decide to go for broke, you can't be thinking about what will happen if you fail.
Realizing that he was trailing in his campaign, the politician decided to go for broke and raked up sensitive and dodgy issues.
The sportsman went for broke in his quest for a berth in the prestigious event."
go down like a lead balloon,"be poorly received by an audience
an act or show that the audience do not like at all
fail completely and be considered a flop by the public
be completely unsuccessful or unpopular
a total failure
fall flat","The joke he cracked went down like a lead balloon.
The issue that the politician raised in his speech went down like a lead balloon with the public.
His idea about the new product went down like a lead balloon.
Your plan for this project would go down like a lead balloon with the stakeholders.
His first public show as a musician went down like a lead balloon.
The proposal to cut the expenses went down like a lead balloon."
give the slip,"to get away
to escape from someone
to evade someone","The police were on the criminal's trail but in the end he managed to give them the slip.
A huge media contingent was waiting for him but the celebrity gave them the slip by exiting quietly through the back door.
All of us chased the thief but he managed to give us the slip by climbing over the high wall.
The security team thought they had the intruder cornered, but with a slick manoeuvre, he gave them the slip.
The player managed to give the defenders of the opposing team the slip and scored an important goal for his team.
The streaker gave the guards the slip and ran into the field, holding up the play for almost ten minutes.
The police chased him throughout the country for three days but the convict finally managed to give them the slip and vanished.
The prisoners were supposed to be shifted to a different enclosure that day, but during the transit, they managed to give their captors the slip and vanished into the wilderness."
get over it,"accept something and move on
move beyond something that is bothering you
don't dwell on something unpleasant that has happened in the past
don't be concerned with what has happened and cannot be changed","I know you are bitter about losing that job, but try to get over it and find another one.
He was depressed after his girlfriend broke up with him, but with a lot of support from his friends, he tried to get over it and move on.
Why do you keep coming back to something that happened years ago? Get over it, you cannot change what has happened.
Get over it, you are doing yourself no good by worrying over what you cannot change.
Instead of thinking about why you lost the last game, why don't you get over it and focus on winning the next one?"
get down to brass tacks,"talk about the important things
get down to the basic facts and realities
get serious about something
talk about the real issue or problem","We have been chatting around for quite some time. Let's get down to brass tacks and discuss what we are really here for.
They finally got down to brass tacks and discussed the issue that was really bothering them.
After exchanging pleasantries with each other, the heads of the two companies got down to brass tacks and discussed the terms for the proposed merger.
It is time to stop beating about the bush and get down to brass tacks.
Let's get down to brass tacks right away and wrap up this discussion quickly. There's no use wasting time discussing other things.
We should get down to brass tacks and discuss how we can finish this project on time.
Without wasting much time, they got down to brass tacks and soon emerged with a solution that was acceptable to everyone.
The family got down to brass tacks and discussed the issue of inheritance as he had left no will."
rags to riches,"go from being very poor to being very wealthy
be very poor in the beginning then later become very rich
go from poverty to wealth","He went from rags to riches after his roadside performances were noticed by a famous movie maker and he was offered roles in his movies.
His journey has been one of rags to riches. He started out as a street vendor but now is the owner of a big business.
He grew up in abject poverty, but now is the highest paid sportsperson in the country. His story is really one of going from rags to riches.
He was inspired after reading the rags-to-riches story of his favourite film star.
Most people like a real life rags-to-riches story. It gives us hope in an otherwise tough world.
Her story was one of going from rags to riches. She had nothing while growing up, now she is the creator of a famous fashion brand.
She started by selling fast food on the street, but her recipe was so good that she quickly went from rags to riches and now she has her own restaurant."
foam at the mouth,"be extremely angry
be enraged and show it
show uncontrollable anger
display furious rage","She was foaming at the mouth when she heard of her child's misdeeds.
He was foaming at the mouth when he realized that important papers had been stolen from his office.
The boss was foaming at the mouth when the team could not deliver the work on time.
He was foaming at the mouth when he heard about the cost of repairing the damage.
She was foaming at the mouth when she heard that the decision had gone against her.
He stood at his door, foaming at the mouth, showering expletives at the miscreants who had damaged his lawn.
When he found out about the robbery, he was foaming at the mouth with uncontrollable rage.
The boy was foaming at the mouth, throwing things around and destroying whatever came in his way."
flip the bird,"show someone the middle finger as an act of contempt or anger
a rude and impolite gesture of showing someone the middle finger
stick out the middle finger at someone in an obscene gesture","When he could not get the man to agree with him, he flipped him the bird and went off cursing.
Fed up of his boss constantly shouting at him and criticizing him, he flipped him the bird and quit.
When the police signaled him to stop, he flipped him the bird and sped off.
He flipped him the bird and went away in a huff when he would not listen to him.
I accidentally dropped his stuff from his table, and he flipped me the bird.
If he tries to start a slanging match with me , I'll flip him the bird."
flash in the pan,"something that cannot be repeated, usually a positive concept
success which lasts only for a little while and cannot be achieved again
something that is briefly successful
something that is promising in the beginning but fizzles out later
something that shows potential initially, but fails to deliver in the end
a sudden but brief success which is not repeated
something that happens for a short time and is not repeated
a showy beginning followed by a disappointing failure","His initial good performances were a mere flash in the pan. Nowadays, he delivers only mediocre work.
The success of his second book turned out to be a flash in the pan. All his other books have been junked by all and termed as trash.
This new wave of entrepreneurship is not just a flash in the pan. More and more people are quitting their day jobs in order to start their own ventures.
He showed great promise during his first few games, but it turned out to be a flash in the pan.
The invention turned out to be a flash in the pan and is no longer in demand.
The season finale was a flash in the pan, else for the rest of the episodes, we barely even watched it.
Unfortunately the high scores in the exam for my nephew was just a flash in the pan.
I understand that the sales peak this time were a flash in the pan and that we may not be able to achieve such numbers again but let's at least work towards realistic targets.
His business idea was just a flash in the pan and cannot be used now since the effects of the demonetization have worn out."
